sentid, sentlen, numents, percentcorrect_spacy, percentcorrect_stanza
1036,12,0,0,0
1037,6,0,0,0
1038,8,0,0,0
1039,16,0,0,0
1040,14,0,0,0
1041,6,0,0,0
1042,11,1,1.0,1.0
1043,3,1,1.0,1.0
1044,52,12,0.9166666666666666,0.9166666666666666
1045,12,1,0.0,0.0
1046,5,0,0,0
1047,3,0,0,0
1048,15,5,0.6,0.6
1049,4,0,0,0
1050,9,0,0,0
1051,18,2,1.0,1.0
1052,9,1,1.0,1.0
1053,14,1,1.0,1.0
1054,8,0,0,0
1055,8,0,0,0
1056,21,1,1.0,1.0
1057,6,0,0,0
1058,32,3,0.6666666666666666,1.0
1059,14,1,1.0,1.0
1060,14,2,1.0,1.0
1061,14,1,1.0,1.0
1062,20,1,1.0,1.0
1063,23,1,1.0,1.0
1064,7,0,0,0
1065,7,0,0,0
1066,9,0,0,0
1067,10,1,1.0,1.0
1068,11,0,0,0
1069,10,1,1.0,1.0
1070,6,1,1.0,1.0
1071,9,0,0,0
1072,8,0,0,0
1073,7,0,0,0
1074,5,1,1.0,1.0
1075,11,1,1.0,1.0
1076,14,2,1.0,1.0
1077,15,0,0,0
1078,8,1,1.0,1.0
1079,8,0,0,0
1080,10,1,1.0,1.0
1081,12,0,0,0
1082,3,0,0,0
1083,17,2,1.0,1.0
1084,12,1,1.0,1.0
1085,20,1,1.0,1.0
1086,5,0,0,0
1087,7,0,0,0
1088,9,0,0,0
1089,12,0,0,0
1090,15,1,1.0,1.0
1091,2,0,0,0
1092,13,2,1.0,1.0
1093,9,0,0,0
1094,8,1,1.0,1.0
1095,4,0,0,0
1096,17,2,0.5,1.0
1097,15,1,1.0,1.0
1098,4,0,0,0
1099,9,0,0,0
1100,9,0,0,0
1101,35,1,1.0,1.0
1102,6,0,0,0
1103,25,0,0,0
1104,22,2,0.5,0.0
1105,25,0,0,0
1106,21,1,1.0,1.0
1107,15,1,1.0,1.0
1108,6,0,0,0
1109,14,0,0,0
1110,39,1,1.0,1.0
1111,5,0,0,0
1112,20,5,1.0,1.0
1113,30,2,0.5,1.0
1114,17,2,1.0,1.0
1115,40,2,1.0,1.0
1116,9,1,1.0,1.0
1117,8,1,1.0,1.0
1118,19,1,1.0,1.0
1119,7,0,0,0
1120,14,0,0,0
1121,17,3,1.0,1.0
1122,12,0,0,0
1123,10,0,0,0
1124,38,3,0.6666666666666666,1.0
1125,12,1,1.0,1.0
1126,6,0,0,0
1127,10,0,0,0
1128,13,1,1.0,1.0
1129,14,2,1.0,1.0
1130,7,0,0,0
1131,14,0,0,0
1132,33,1,1.0,1.0
1133,22,3,1.0,1.0
1134,22,2,1.0,1.0
1135,40,1,1.0,1.0
1136,31,2,1.0,1.0
1137,8,1,1.0,1.0
1138,20,0,0,0
1139,33,3,0.6666666666666666,0.6666666666666666
1140,11,0,0,0
1141,13,0,0,0
1142,20,1,1.0,1.0
1143,6,0,0,0
1144,16,3,1.0,1.0
1145,3,0,0,0
1146,12,0,0,0
1147,4,0,0,0
1148,10,0,0,0
1149,45,1,1.0,1.0
1150,18,0,0,0
1151,19,1,1.0,1.0
1152,28,1,1.0,1.0
1153,16,0,0,0
1154,6,0,0,0
1155,6,0,0,0
1156,7,0,0,0
1157,15,2,1.0,1.0
1158,21,1,1.0,1.0
1159,12,0,0,0
1160,10,0,0,0
